# Voltage [V], Frequency [MHz]
9.734000, 153.380000
9.864000, 154.840000
9.977000, 156.470000
10.098000, 157.660000
10.200000, 159.330000
10.266000, 159.330000
10.293000, 159.730000
10.321000, 160.120000
10.309000, 160.270000
10.319000, 160.270000
10.307000, 160.280000
10.319000, 160.280000
10.314000, 160.280000
10.315000, 160.280000
10.306000, 160.280000
10.321000, 160.280000
10.313000, 160.280000
10.310000, 160.230000
10.290000, 160.230000
10.230000, 160.090000
10.146000, 159.640000
10.087000, 158.800000
10.165000, 158.800000
9.840000, 159.210000
9.604000, 156.690000
9.618000, 154.730000
9.335000, 154.730000
9.222000, 153.430000
9.075000, 151.820000
8.965000, 150.520000
8.805000, 148.360000
8.677000, 148.360000
8.576000, 147.620000
8.447000, 146.460000
8.363000, 145.350000
8.263000, 145.350000
8.128000, 144.450000
7.994000, 143.160000
7.890000, 141.820000
7.766000, 141.820000
7.573000, 140.740000
7.479000, 139.040000
7.355000, 137.920000
7.078000, 134.900000
6.996000, 134.900000
7.002000, 134.490000
6.996000, 134.360000
6.996000, 134.350000
7.013000, 134.350000
7.018000, 134.370000
7.106000, 134.500000
7.192000, 135.140000
7.420000, 136.560000
7.527000, 136.560000
7.709000, 138.170000
7.875000, 139.740000
7.969000, 141.310000
8.050000, 141.310000
8.148000, 142.210000
8.248000, 143.090000
8.299000, 144.090000
8.292000, 144.090000
8.393000, 144.350000
8.457000, 144.870000
8.516000, 145.630000
8.580000, 146.210000
8.708000, 146.210000
